measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,55,Republic of Slovenia,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,71.5352228010076,89.81088330841712,57.02162418640384
1,Deaths,161,People's Republic of Bangladesh,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,6772.314937763433,10003.070159739504,4357.570630486588
1,Deaths,30,Republic of Vanuatu,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,0.8924148424854647,1.5233653906234792,0.47376681663502845
1,Deaths,30,Republic of Vanuatu,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,2.451233977662135,3.441319226905513,1.407801399950099
1,Deaths,22,Republic of Fiji,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,0.10363180719376884,0.18321712660964296,0.014395011660054146
1,Deaths,110,Commonwealth of Dominica,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,0.8717224779322005,1.5988521785782146,0.16799761773299435
1,Deaths,79,Republic of Finland,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,230.7684413623499,258.1076293000555,206.5169823813903
1,Deaths,60,Republic of Lithuania,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,168.31606404406955,199.30811309312966,139.59045981952136
1,Deaths,48,Hungary,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,1602.586394377668,1912.2095888355047,1288.6673598326304
1,Deaths,40,Turkmenistan,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,57.1930135956681,82.18057261744713,37.67300258649478
1,Deaths,16,Republic of the Philippines,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,71.79483310930455,148.58018905009033,14.925236772278954
1,Deaths,46,Republic of Croatia,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,478.9250890248422,580.7608242906789,381.5281886761599
1,Deaths,177,Republic of Djibouti,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,5.147948768573458,8.84489187988656,2.945876378529265
1,Deaths,62,Russian Federation,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,2344.5073135761654,2680.1217608540373,2074.592366218388
1,Deaths,80,French Republic,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,3050.568687023751,3342.325445134192,2814.3531230114922
1,Deaths,209,Republic of Guinea-Bissau,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,0.581951907578878,1.3768085611632037,0.08923446672591381
1,Deaths,207,Republic of Ghana,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,251.30807501685257,414.32833239365993,149.26065035249962
1,Deaths,207,Republic of Ghana,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,352.1131040428015,476.072005730201,235.82778093892338
1,Deaths,112,Grenada,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,1.7004397710867134,2.1990835806860938,1.2575091968570309
1,Deaths,193,Republic of Botswana,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,18.836771933535037,27.582029603082432,10.976498836392297
1,Deaths,23,Republic of Kiribati,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,3.0433617791729146,4.794648267075326,1.7530363000433402
1,Deaths,175,Republic of Burundi,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,27.380579313561206,58.937108459214315,14.266263828941868
1,Deaths,111,Dominican Republic,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,1024.0823965486725,1483.8255743713314,580.5320424259339
1,Deaths,210,Republic of Liberia,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,52.06226978739535,78.13027704869506,30.413544468299897
